Time,Type,Confidence,Latitude,Longitude
2026-02-18 21:11:32,Fire,0.72,13.0878,80.2785
2026-02-19 10:15:55,Fire,0.75,13.0878,80.2785
2026-02-19 10:16:05,Fire,0.70,13.0878,80.2785
2026-02-19 10:16:13,Fire,0.72,13.0878,80.2785
2026-02-22 21:10:19,Smoke,0.70,11.6538,78.1554
2026-02-22 21:11:21,Smoke,0.71,11.6538,78.1554
2026-02-22 21:12:55,Smoke,0.77,11.6538,78.1554
2026-02-22 21:13:17,Smoke,0.78,11.6538,78.1554
2026-02-22 21:14:17,Smoke,0.79,11.6538,78.1554
2026-02-22 21:14:26,Smoke,0.72,11.6538,78.1554
2026-02-22 21:14:39,Smoke,0.80,11.6538,78.1554
2026-02-22 21:15:13,Smoke,0.84,11.6538,78.1554
2026-02-22 21:15:23,Smoke,0.72,11.6538,78.1554
2026-02-22 21:16:30,Smoke,0.81,13.0878,80.2785
2026-02-22 21:16:45,Smoke,0.80,13.0878,80.2785
2026-02-25 14:35:12,Smoke,0.82,13.0878,80.2785
2026-02-25 14:35:18,Smoke,0.72,13.0878,80.2785
2026-02-25 14:35:22,Smoke,0.70,13.0878,80.2785
2026-02-25 14:35:46,Fire,0.80,13.0878,80.2785
