epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.491,0.27723,1.20791,0.99785,0.99821,1,0.995,0.925,0.41436,1.59525,0.73847,0.00031,0.00031,0.06931
2,252.528,0.25178,0.62384,0.94395,0.82898,1,0.97127,0.92146,0.29093,1.2721,0.60286,0.00062109,0.00062109,0.0376211
3,381.294,0.23457,0.54473,0.9492,0.75514,1,0.98971,0.88052,0.3539,3.14762,0.73686,0.000923129,0.000923129,0.00592313
4,498.527,0.23842,0.52915,0.95134,0.98048,0.93846,0.98366,0.926,0.34766,0.84577,0.68107,0.000957571,0.000957571,0.000957571
5,617.363,0.2157,0.48435,0.92627,0.88306,0.95385,0.97496,0.93925,0.33039,0.734,0.70225,0.000943429,0.000943429,0.000943429
6,732.568,0.20374,0.45431,0.92628,0.98428,0.96359,0.99211,0.91927,0.31302,0.70174,0.65386,0.000929286,0.000929286,0.000929286
7,846.297,0.19009,0.42759,0.93079,0.96801,0.95385,0.98753,0.95339,0.31345,0.73683,0.65133,0.000915143,0.000915143,0.000915143
8,962.62,0.20134,0.4591,0.92477,0.99533,1,0.995,0.96685,0.33545,0.71085,0.67187,0.000901,0.000901,0.000901
9,1080.64,0.1715,0.39,0.91258,0.99837,1,0.995,0.99202,0.2471,0.43287,0.60212,0.000886857,0.000886857,0.000886857
10,1200.61,0.17782,0.40421,0.91837,0.91198,1,0.99142,0.96458,0.30958,0.73325,0.64036,0.000872714,0.000872714,0.000872714
11,1318.62,0.17672,0.39641,0.92376,0.9984,1,0.995,0.98017,0.34183,0.47709,0.62272,0.000858571,0.000858571,0.000858571
12,1436.17,0.15576,0.35668,0.91267,0.99834,1,0.995,0.99072,0.25021,0.53228,0.57694,0.000844429,0.000844429,0.000844429
13,1553.37,0.1612,0.37232,0.91522,0.99793,1,0.995,0.96875,0.30009,0.55237,0.61729,0.000830286,0.000830286,0.000830286
14,1671.05,0.15229,0.35233,0.88915,0.99836,1,0.995,0.995,0.21866,0.42241,0.55469,0.000816143,0.000816143,0.000816143
