epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.476,1.02333,1.75739,1.23073,0.97757,0.63522,0.69303,0.62034,0.86549,1.70096,1.12206,0.000327869,0.000327869,0.067541
2,440.613,0.92836,1.25979,1.20679,0.93781,0.68239,0.70753,0.62448,0.83148,1.14652,1.20692,0.000650292,0.000650292,0.0345301
3,650.219,0.85901,1.12723,1.17144,0.97867,0.68868,0.75189,0.6631,0.74207,1.09865,1.14346,0.000961716,0.000961716,0.00150816
4,862.799,0.82789,1.06748,1.16567,0.99536,0.67519,0.75481,0.6752,0.69737,0.88045,1.09386,0.0009505,0.0009505,0.0009505
5,1113.59,0.82349,1.03543,1.16273,0.99779,0.69182,0.76845,0.69033,0.67421,0.78348,1.08525,0.000934,0.000934,0.000934
6,1345.82,0.83567,1.03592,1.16339,0.98537,0.68868,0.756,0.67844,0.69001,0.89173,1.11381,0.0009175,0.0009175,0.0009175
7,1554.36,0.82377,1.02829,1.16837,0.98627,0.68868,0.77123,0.69088,0.67578,0.87801,1.12694,0.000901,0.000901,0.000901
8,1768.33,0.75846,0.95931,1.13336,0.99415,0.68868,0.74587,0.67982,0.68271,0.85469,1.12819,0.0008845,0.0008845,0.0008845
9,1984.93,0.82065,1.00787,1.16973,0.9815,0.69497,0.7656,0.69665,0.65743,0.79732,1.0949,0.000868,0.000868,0.000868
10,2194.72,0.79738,0.97485,1.16746,0.99547,0.69109,0.79109,0.71084,0.64188,0.76306,1.09718,0.0008515,0.0008515,0.0008515
11,2405.76,0.8092,0.99142,1.18705,0.98803,0.69182,0.77736,0.70479,0.62291,0.74933,1.09249,0.000835,0.000835,0.000835
12,2614.15,0.76149,0.93768,1.15165,0.99547,0.69109,0.79579,0.70561,0.61279,0.74655,1.08665,0.0008185,0.0008185,0.0008185
13,2826.73,0.75001,0.8975,1.14616,0.9981,0.69182,0.79861,0.71972,0.64407,0.77799,1.1274,0.000802,0.000802,0.000802
14,3037.38,0.71975,0.8835,1.11982,0.99444,0.69182,0.77527,0.70655,0.61993,0.84098,1.12245,0.0007855,0.0007855,0.0007855
15,3251.49,0.70466,0.86473,1.11526,0.98118,0.68868,0.77811,0.71021,0.59814,0.73578,1.09181,0.000769,0.000769,0.000769
16,3464.15,0.66729,0.81184,1.09061,0.99387,0.69182,0.78551,0.7181,0.57548,0.68715,1.051,0.0007525,0.0007525,0.0007525
17,3682.24,0.70037,0.8412,1.1112,0.99404,0.69497,0.81317,0.73191,0.53718,0.62214,1.02909,0.000736,0.000736,0.000736
